ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_2742152	0.9813	5.87E-01	0.5665285	-5.76994	0.09913492	Gadd45a	growth arrest and DNA-damage-inducible 45 alpha
ILMN_2770767	0.9813	5.87E-01	-0.5664556	-5.76999	-0.04714798	Gjd4	"gap junction protein, delta 4"
ILMN_2430402	0.9813	5.87E-01	0.5664439	-5.76999	0.04973443		
ILMN_1237019	0.9813	5.87E-01	0.5664345	-5.77	0.0456425	Rab36	"RAB36, member RAS oncogene family"
ILMN_1232578	0.9813	5.87E-01	-0.5664229	-5.77	-0.05206126		
ILMN_2751090	0.9813	5.87E-01	0.5664201	-5.77001	0.08132986	Cep68	centrosomal protein 68
ILMN_2549511	0.9813	5.87E-01	0.5663643	-5.77004	0.06629365	Gm9857	predicted gene 9857
ILMN_1241039	0.9813	5.88E-01	0.5663397	-5.77005	0.06078756	2510042H12Rik	RIKEN cDNA 2510042H12 gene
ILMN_2636335	0.9813	5.88E-01	0.5662817	-5.77009	0.04940654	Srsf2	serine/arginine-rich splicing factor 2
ILMN_2908906	0.9813	5.88E-01	0.5662652	-5.77009	0.05099959	Olfr262	olfactory receptor 262
ILMN_2683718	0.9813	5.88E-01	-0.5662253	-5.77012	-0.06553211	Lrpprc	leucine-rich PPR-motif containing
ILMN_1237600	0.9813	5.88E-01	0.5661802	-5.77014	0.05385422		
ILMN_1233507	0.9813	5.88E-01	0.5661604	-5.77015	0.05471215	Myod1	myogenic differentiation 1
ILMN_1223363	0.9813	5.88E-01	0.5660645	-5.77021	0.09818896	Ppfia1	"protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1"
ILMN_2657516	0.9813	5.88E-01	0.5660376	-5.77022	0.05880276	Prr13	proline rich 13
ILMN_2890954	0.9813	5.88E-01	0.5660256	-5.77023	0.05408681	Sit1	suppression inducing transmembrane adaptor 1
ILMN_2592395	0.9813	5.88E-01	-0.5660047	-5.77024	-0.04329406	Mei4	"meiosis-specific, MEI4 homolog (S. cerevisiae)"
ILMN_2590950	0.9813	5.88E-01	0.565993	-5.77025	0.1870585	Agtrap	"angiotensin II, type I receptor-associated protein"
ILMN_2689357	0.9813	5.88E-01	-0.5659561	-5.77027	-0.0478179	E230019M04Rik	RIKEN cDNA E230019M04 gene
ILMN_2533861	0.9813	5.88E-01	-0.5659499	-5.77027	-0.05735469		
ILMN_3163350	0.9813	5.88E-01	0.5659431	-5.77028	0.05304031	Cldn19	claudin 19
ILMN_1232269	0.9813	5.88E-01	0.5659364	-5.77028	0.06376484		
ILMN_2950837	0.9813	5.88E-01	0.5659236	-5.77029	0.05704334	Mfn1	mitofusin 1
ILMN_2897328	0.9813	5.88E-01	0.565883	-5.77031	0.09020128	Zfp777	zinc finger protein 777
ILMN_1259040	0.9813	5.88E-01	0.5658491	-5.77033	0.06772448	Gm11149	predicted gene 11149
ILMN_1229996	0.9813	5.88E-01	-0.5658235	-5.77035	-0.05153021	Iigp1	interferon inducible GTPase 1
ILMN_2759920	0.9813	5.88E-01	-0.5657678	-5.77038	-0.06577526	Bccip	BRCA2 and CDKN1A interacting protein
ILMN_1245519	0.9813	5.88E-01	-0.5657182	-5.77041	-0.05450165	4932438H23Rik	RIKEN cDNA 4932438H23 gene
ILMN_1255361	0.9813	5.88E-01	0.5656973	-5.77042	0.04268215	1700017N19Rik	RIKEN cDNA 1700017N19 gene
ILMN_2571414	0.9813	5.88E-01	-0.5656585	-5.77044	-0.07510414	Ndrg3	N-myc downstream regulated gene 3
ILMN_3102376	0.9813	5.88E-01	-0.5656336	-5.77046	-0.21791877	Fcgr2b	"Fc receptor, IgG, low affinity IIb"
ILMN_2696418	0.9813	5.88E-01	-0.5656068	-5.77047	-0.05453842	Dnaaf1	"dynein, axonemal assembly factor 1"
ILMN_2675497	0.9813	5.88E-01	-0.5655497	-5.7705	-0.06853739	Actl7b	actin-like 7b
ILMN_2740949	0.9813	5.88E-01	0.5655449	-5.77051	0.04476372	Syt7	synaptotagmin VII
ILMN_1228128	0.9813	5.88E-01	0.5655242	-5.77052	0.074521		
ILMN_3161432	0.9813	5.88E-01	-0.5655051	-5.77053	-0.04693952		
ILMN_2480140	0.9813	5.88E-01	-0.5654169	-5.77058	-0.04447674	4631405K08Rik	RIKEN cDNA 4631405K08 gene
ILMN_2524167	0.9813	5.88E-01	0.5653776	-5.7706	0.04505012	Pgrmc2	progesterone receptor membrane component 2
ILMN_1222411	0.9813	5.88E-01	0.5653755	-5.7706	0.04765284	Nlgn1	neuroligin 1
ILMN_2422761	0.9813	5.88E-01	-0.5653454	-5.77062	-0.04201259		
ILMN_3000536	0.9813	5.88E-01	0.565345	-5.77062	0.04974427	Med11	"mediator of RNA polymerase II transcription, subunit 11 homolog (S. cerevisiae)"
ILMN_2549772	0.9813	5.88E-01	-0.5653231	-5.77063	-0.04794865	Exoc6b	exocyst complex component 6B
ILMN_1214184	0.9813	5.88E-01	0.5652812	-5.77066	0.04343881	LOC433461	uncharacterized LOC433461
ILMN_1250612	0.9813	5.88E-01	0.565268	-5.77066	0.06443059	Tbc1d2	"TBC1 domain family, member 2"
ILMN_2894943	0.9813	5.88E-01	-0.5652232	-5.77069	-0.05018626	Gga1	"golgi associated, gamma adaptin ear containing, ARF binding protein 1"
ILMN_2726138	0.9813	5.88E-01	-0.5651904	-5.77071	-0.05023355		
ILMN_1232103	0.9813	5.88E-01	-0.5650462	-5.77079	-0.04301488	Pbx4	pre B cell leukemia homeobox 4
ILMN_2774572	0.9813	5.88E-01	-0.5650355	-5.7708	-0.04630493	Crygn	"crystallin, gamma N"
ILMN_2564994	0.9813	5.88E-01	-0.5650301	-5.7708	-0.05250129	Slc9a7	"solute carrier family 9 (sodium/hydrogen exchanger), member 7"
ILMN_1227364	0.9813	5.88E-01	-0.5650182	-5.77081	-0.04826094		
ILMN_2579524	0.9813	5.88E-01	0.5649889	-5.77082	0.05662251	Nbas	neuroblastoma amplified sequence
ILMN_2780499	0.9813	5.88E-01	0.5649465	-5.77085	0.05426642	Wdr33	WD repeat domain 33
ILMN_1249930	0.9813	5.88E-01	-0.5648571	-5.7709	-0.04573867	Atp6v0a2	"ATPase, H+ transporting, lysosomal V0 subunit A2"
ILMN_1259943	0.9813	5.88E-01	0.5648302	-5.77091	0.06163618		
ILMN_2694785	0.9813	5.89E-01	0.5647893	-5.77094	0.04397261	Spink10	"serine peptidase inhibitor, Kazal type 10"
ILMN_1242217	0.9813	5.89E-01	0.564784	-5.77094	0.09601606	Efr3b	EFR3 homolog B (S. cerevisiae)
ILMN_1235329	0.9813	5.89E-01	-0.5647567	-5.77096	-0.0856142	Etv5	ets variant gene 5
ILMN_2488153	0.9813	5.89E-01	0.5646821	-5.771	0.04649575	H2-T18	"histocompatibility 2, T region locus 18"
ILMN_2751471	0.9813	5.89E-01	-0.5646203	-5.77103	-0.05098195	Mfsd4	major facilitator superfamily domain containing 4
ILMN_2822579	0.9813	5.89E-01	-0.5646057	-5.77104	-0.16203035	Col4a2	"collagen, type IV, alpha 2"
ILMN_1244059	0.9813	5.89E-01	-0.5645699	-5.77106	-0.11252863	Ulk2	unc-51 like kinase 2
ILMN_2507793	0.9813	5.89E-01	-0.5645488	-5.77107	-0.05685145	Nudt10	nudix (nucleoside diphosphate linked moiety X)-type motif 10
ILMN_2946430	0.9813	5.89E-01	0.5645443	-5.77108	0.07256902	Olfr585	olfactory receptor 585
ILMN_1246761	0.9813	5.89E-01	0.5644873	-5.77111	0.05092242	Eif2c4	"eukaryotic translation initiation factor 2C, 4"
ILMN_1251663	0.9813	5.89E-01	0.564468	-5.77112	0.10528677	Bcl7c	B cell CLL/lymphoma 7C
ILMN_2725128	0.9813	5.89E-01	-0.5644675	-5.77112	-0.06417844	Hspa14	heat shock protein 14
ILMN_1230730	0.9813	5.89E-01	-0.5644286	-5.77114	-0.06408036	Ate1	arginyltransferase 1
ILMN_3161860	0.9813	5.89E-01	0.564415	-5.77115	0.05331746	Olfr685	olfactory receptor 685
ILMN_2653990	0.9813	5.89E-01	-0.5644066	-5.77115	-0.04818832	Nphs2	"nephrosis 2 homolog, podocin (human)"
ILMN_2606660	0.9813	5.89E-01	0.5643515	-5.77119	0.1465981	Card10	"caspase recruitment domain family, member 10"
ILMN_2427063	0.9813	5.89E-01	-0.5643418	-5.77119	-0.0556065	Uxt	ubiquitously expressed transcript
ILMN_1219109	0.9813	5.89E-01	0.5643412	-5.77119	0.0702601	Eif2c4	"eukaryotic translation initiation factor 2C, 4"
ILMN_3013659	0.9813	5.89E-01	0.5643034	-5.77121	0.0458483	Zscan4c	zinc finger and SCAN domain containing 4C
ILMN_1252693	0.9813	5.89E-01	-0.5642988	-5.77122	-0.04457536		
ILMN_1259824	0.9813	5.89E-01	-0.564123	-5.77132	-0.0429358		
ILMN_2458442	0.9813	5.89E-01	0.564103	-5.77133	0.08578457	Usp15	ubiquitin specific peptidase 15
ILMN_2873422	0.9813	5.89E-01	-0.5640127	-5.77138	-0.04480296	Olfr444	olfactory receptor 444
ILMN_2714385	0.9813	5.89E-01	0.5640103	-5.77138	0.04526726	Fancm	"Fanconi anemia, complementation group M"
ILMN_1229066	0.9813	5.89E-01	0.5640008	-5.77139	0.14023841		
ILMN_1244892	0.9813	5.89E-01	0.5638493	-5.77147	0.04930492	Pacsin1	protein kinase C and casein kinase substrate in neurons 1
ILMN_2877029	0.9813	5.89E-01	-0.5638387	-5.77148	-0.04160334	Cytl1	cytokine-like 1
ILMN_2650611	0.9813	5.89E-01	0.5638038	-5.7715	0.05519651	Ostn	osteocrin
ILMN_2719473	0.9813	5.89E-01	0.563792	-5.7715	0.09581058	Asf1b	ASF1 anti-silencing function 1 homolog B (S. cerevisiae)
ILMN_2438008	0.9813	5.89E-01	0.5637546	-5.77153	0.05310903		
ILMN_2971767	0.9813	5.89E-01	-0.5637429	-5.77153	-0.09667859	Myd88	myeloid differentiation primary response gene 88
ILMN_3149700	0.9813	5.89E-01	0.5636881	-5.77156	0.0560087	Gpr27	G protein-coupled receptor 27
ILMN_2621169	0.9813	5.89E-01	-0.5636724	-5.77157	-0.04486715	3110047P20Rik	RIKEN cDNA 3110047P20 gene
ILMN_2777305	0.9813	5.89E-01	0.5636579	-5.77158	0.0478997	Cypt4	cysteine-rich perinuclear theca 4
ILMN_2443840	0.9813	5.89E-01	-0.5636484	-5.77159	-0.05195706	Dstyk	dual serine/threonine and tyrosine protein kinase
ILMN_1236598	0.9813	5.89E-01	0.5636412	-5.77159	0.04018785	Mdm1	transformed mouse 3T3 cell double minute 1
ILMN_2993652	0.9813	5.89E-01	-0.5634223	-5.77171	-0.04847806	Ncan	neurocan
ILMN_2676127	0.9813	5.89E-01	-0.5634046	-5.77172	-0.06300023	Scarf2	"scavenger receptor class F, member 2"
ILMN_2772140	0.9813	5.89E-01	0.5633695	-5.77174	0.0424156	Fam123b	"family with sequence similarity 123, member B"
ILMN_1230140	0.9813	5.89E-01	-0.563358	-5.77175	-0.0554198		
ILMN_2822732	0.9813	5.90E-01	0.5632516	-5.77181	0.04303332	Mcart6	mitochondrial carrier triple repeat 6
ILMN_1219499	0.9813	5.90E-01	0.5632049	-5.77184	0.05769018	Pard3b	par-3 partitioning defective 3 homolog B (C. elegans)
ILMN_2664088	0.9813	5.90E-01	-0.5631576	-5.77187	-0.05313568	Aspscr1	"alveolar soft part sarcoma chromosome region, candidate 1 (human)"
ILMN_1231414	0.9813	5.90E-01	0.5631034	-5.7719	0.07366524		
ILMN_2596693	0.9813	5.90E-01	-0.5631033	-5.7719	-0.05453577	Slc35f5	"solute carrier family 35, member F5"
ILMN_2552516	0.9813	5.90E-01	0.5628618	-5.77203	0.0497199	Anxa4	annexin A4
ILMN_2722883	0.9813	5.90E-01	0.5628542	-5.77204	0.05052519	Olfr96	olfactory receptor 96
ILMN_1260511	0.9813	5.90E-01	-0.562832	-5.77205	-0.04645808		
ILMN_2535194	0.9813	5.90E-01	-0.5628231	-5.77206	-0.05131782	Olfr320	olfactory receptor 320
ILMN_2930843	0.9813	5.90E-01	-0.5627398	-5.7721	-0.04384667	Kl	klotho
ILMN_2756074	0.9813	5.90E-01	-0.5627204	-5.77211	-0.0481469	Dtwd1	DTW domain containing 1
ILMN_1247321	0.9813	5.90E-01	-0.5626127	-5.77217	-0.05068183		
ILMN_2730266	0.9813	5.90E-01	-0.5625499	-5.77221	-0.05021356	Cd44	CD44 antigen
ILMN_2547852	0.9813	5.90E-01	-0.5625466	-5.77221	-0.04504948	Pex11c	peroxisomal biogenesis factor 11 gamma
ILMN_1233318	0.9813	5.90E-01	0.5625435	-5.77221	0.07397523		
ILMN_1230505	0.9813	5.90E-01	0.5625074	-5.77223	0.05269265	L3hypdh	L-3-hydroxyproline dehydratase (trans-)
ILMN_1250821	0.9813	5.90E-01	-0.5624336	-5.77228	-0.08153837		
ILMN_3133748	0.9813	5.90E-01	-0.5623956	-5.7723	-0.08653694	Gab3	growth factor receptor bound protein 2-associated protein 3
ILMN_1234308	0.9813	5.90E-01	0.5623395	-5.77233	0.0602803	Dexi	dexamethasone-induced transcript
ILMN_2577900	0.9813	5.90E-01	0.5623232	-5.77234	0.05326381	Cgnl1	cingulin-like 1
ILMN_1235244	0.9813	5.90E-01	-0.5623222	-5.77234	-0.04999912		
ILMN_1245830	0.9813	5.90E-01	0.5622697	-5.77237	0.0432017		
ILMN_2584490	0.9813	5.90E-01	-0.5622688	-5.77237	-0.05414254	Fam178a	"family with sequence similarity 178, member A"
ILMN_3013144	0.9813	5.90E-01	-0.5622521	-5.77238	-0.04746725	Ttc5	tetratricopeptide repeat domain 5
ILMN_1253740	0.9813	5.90E-01	0.5622472	-5.77238	0.04747835		
ILMN_2537941	0.9813	5.90E-01	-0.5622447	-5.77238	-0.05461379		
ILMN_1250947	0.9813	5.90E-01	-0.5621485	-5.77244	-0.08594776	Txndc5	thioredoxin domain containing 5
ILMN_2541232	0.9813	5.90E-01	0.562129	-5.77245	0.06154838		
ILMN_1220049	0.9813	5.90E-01	-0.5621172	-5.77246	-0.13137559	Rhot1	"ras homolog gene family, member T1"
ILMN_1243910	0.9813	5.90E-01	0.5621166	-5.77246	0.14386527	Zfp292	zinc finger protein 292
ILMN_2766315	0.9813	5.90E-01	-0.5621051	-5.77246	-0.05430849	Trappc2l	trafficking protein particle complex 2-like
ILMN_2694128	0.9813	5.90E-01	-0.5621023	-5.77246	-0.05890494	Olfr1157	olfactory receptor 1157
ILMN_2424680	0.9813	5.90E-01	0.5620858	-5.77247	0.04556451	Cr1l	complement component (3b/4b) receptor 1-like
ILMN_2738369	0.9813	5.90E-01	0.5620846	-5.77247	0.0613063	Krt6a	keratin 6A
ILMN_1235581	0.9813	5.90E-01	-0.5620655	-5.77249	-0.06396987	Samd14	sterile alpha motif domain containing 14
ILMN_3009792	0.9813	5.90E-01	-0.5619185	-5.77257	-0.06025632	Aim2	absent in melanoma 2
ILMN_1233275	0.9813	5.90E-01	-0.5618655	-5.7726	-0.06810453		
ILMN_2446032	0.9813	5.90E-01	-0.561861	-5.7726	-0.09647996		
ILMN_3120335	0.9813	5.90E-01	-0.5618278	-5.77262	-0.04780504	Gabrb3	"gamma-aminobutyric acid (GABA) A receptor, subunit beta 3"
ILMN_2724096	0.9813	5.90E-01	0.5618115	-5.77263	0.04530784	Krtap21-1	keratin associated protein 21-1
ILMN_1259001	0.9813	5.90E-01	-0.561778	-5.77265	-0.04570888	Pcgf3	polycomb group ring finger 3
ILMN_2660943	0.9813	5.90E-01	-0.5617607	-5.77266	-0.04738728		
ILMN_1246853	0.9813	5.90E-01	-0.5617574	-5.77266	-0.04642069		
ILMN_1257133	0.9813	5.90E-01	0.5617258	-5.77268	0.0496811	Mob3c	MOB kinase activator 3C
ILMN_1231774	0.9813	5.91E-01	0.5616741	-5.77271	0.05235861	Pkhd1	polycystic kidney and hepatic disease 1
ILMN_2650468	0.9813	5.91E-01	0.5615871	-5.77276	0.06989161	Olfr53	olfactory receptor 53
ILMN_2987657	0.9813	5.91E-01	-0.5615789	-5.77276	-0.04317874	Doxl2	diamine oxidase-like protein 2
ILMN_2477221	0.9813	5.91E-01	-0.5615769	-5.77276	-0.07142503	Cited2	"Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2"
ILMN_2528652	0.9813	5.91E-01	-0.5615011	-5.77281	-0.06438543	Crnn	cornulin
ILMN_2450121	0.9813	5.91E-01	-0.5614525	-5.77283	-0.08552112	Akap11	A kinase (PRKA) anchor protein 11
ILMN_2466121	0.9813	5.91E-01	0.5614041	-5.77286	0.14601876	Twistnb	TWIST neighbor
ILMN_2975892	0.9813	5.91E-01	0.5614021	-5.77286	0.12238238	Dnase2a	deoxyribonuclease II alpha
ILMN_1227817	0.9813	5.91E-01	-0.5613715	-5.77288	-0.0654276	Ank3	"ankyrin 3, epithelial"
ILMN_2769210	0.9813	5.91E-01	0.5613639	-5.77288	0.11267253	Spast	spastin
ILMN_2901409	0.9813	5.91E-01	0.5613309	-5.7729	0.04802646	Fam70a	"family with sequence similarity 70, member A"
ILMN_2565748	0.9813	5.91E-01	0.5612904	-5.77292	0.10266524	Gabrg3	"gamma-aminobutyric acid (GABA) A receptor, subunit gamma 3"
ILMN_2683802	0.9813	5.91E-01	0.5612893	-5.77293	0.05321937	Nudt9	nudix (nucleoside diphosphate linked moiety X)-type motif 9
ILMN_2653567	0.9813	5.91E-01	-0.5612737	-5.77293	-0.07886941	Rhoj	"ras homolog gene family, member J"
ILMN_2741689	0.9813	5.91E-01	-0.5611727	-5.77299	-0.0771735	Tm2d1	TM2 domain containing 1
ILMN_2633706	0.9813	5.91E-01	0.5611296	-5.77302	0.04468756		
ILMN_2716043	0.9813	5.91E-01	0.5610468	-5.77306	0.05309493	Tmem89	transmembrane protein 89
ILMN_2727872	0.9813	5.91E-01	-0.5609958	-5.77309	-0.05756661		
ILMN_2595863	0.9813	5.91E-01	-0.5607809	-5.77321	-0.05740299	Chst10	carbohydrate sulfotransferase 10
ILMN_2955937	0.9813	5.91E-01	0.5607499	-5.77323	0.0569169	Chia	"chitinase, acidic"
ILMN_3162917	0.9813	5.91E-01	0.5607454	-5.77323	0.05366862	Inadl	InaD-like (Drosophila)
ILMN_2825301	0.9813	5.91E-01	0.5607137	-5.77325	0.11393183	Uba1	ubiquitin-like modifier activating enzyme 1
ILMN_1231518	0.9813	5.91E-01	-0.5606639	-5.77328	-0.10217593	Abhd10	abhydrolase domain containing 10
ILMN_2544533	0.9813	5.91E-01	-0.5606502	-5.77329	-0.04041938	4930404N11Rik	RIKEN cDNA 4930404N11 gene
ILMN_1252390	0.9813	5.91E-01	-0.5606386	-5.77329	-0.05402045	Polq	"polymerase (DNA directed), theta"
ILMN_2686611	0.9813	5.91E-01	0.560633	-5.7733	0.0451752	Acsbg1	acyl-CoA synthetase bubblegum family member 1
ILMN_1229384	0.9813	5.91E-01	0.560538	-5.77335	0.05819134	Olfr1234	olfactory receptor 1234
ILMN_2868440	0.9813	5.91E-01	0.5605368	-5.77335	0.04909935	1700003F12Rik	RIKEN cDNA 1700003F12 gene
ILMN_2593241	0.9813	5.91E-01	-0.560514	-5.77336	-0.06387061	Melk	maternal embryonic leucine zipper kinase
ILMN_1231655	0.9813	5.91E-01	-0.5605037	-5.77337	-0.048942	Olfr620	olfactory receptor 620
ILMN_1220326	0.9813	5.91E-01	-0.5604971	-5.77337	-0.07069538	D230016O17	uncharacterized protein D230016O17
ILMN_2952466	0.9813	5.91E-01	-0.5603936	-5.77343	-0.06020561	Trove2	"TROVE domain family, member 2"
ILMN_2657911	0.9813	5.91E-01	0.5603344	-5.77347	0.09788009	Cnot4	"CCR4-NOT transcription complex, subunit 4"
ILMN_2679046	0.9813	5.91E-01	-0.5603159	-5.77348	-0.05833363	Exosc9	exosome component 9
ILMN_2541817	0.9813	5.91E-01	0.5603004	-5.77348	0.10330817		
ILMN_1258086	0.9813	5.91E-01	0.5602959	-5.77349	0.06592782	Setd1b	SET domain containing 1B
ILMN_2559002	0.9813	5.91E-01	-0.5602587	-5.77351	-0.04991707		
ILMN_1214839	0.9813	5.91E-01	-0.5602353	-5.77352	-0.06216275	Timm8a2	translocase of inner mitochondrial membrane 8 homolog a2 (yeast)
ILMN_2563382	0.9813	5.91E-01	0.560212	-5.77353	0.04943926	Cc2d2a	coiled-coil and C2 domain containing 2A
ILMN_1242658	0.9813	5.91E-01	0.5602097	-5.77354	0.09500791	A730017C20Rik	RIKEN cDNA A730017C20 gene
ILMN_1214335	0.9813	5.92E-01	-0.5601699	-5.77356	-0.04724901		
ILMN_2626114	0.9813	5.92E-01	0.5600395	-5.77363	0.07636106	Rab3ip	RAB3A interacting protein
ILMN_1237264	0.9813	5.92E-01	0.5599245	-5.7737	0.09591537	Trnau1ap	tRNA selenocysteine 1 associated protein 1
ILMN_3155274	0.9813	5.92E-01	0.5598633	-5.77373	0.15666134	Ube3a	ubiquitin protein ligase E3A
ILMN_2483493	0.9813	5.92E-01	-0.5598603	-5.77373	-0.04719692		
ILMN_2942930	0.9813	5.92E-01	0.559849	-5.77374	0.09427852	Cdk20	cyclin-dependent kinase 20
ILMN_1253080	0.9813	5.92E-01	0.5597682	-5.77379	0.04635926	Crb1	crumbs homolog 1 (Drosophila)
ILMN_1256096	0.9813	5.92E-01	-0.5597505	-5.7738	-0.04401214		
ILMN_2826235	0.9813	5.92E-01	0.5596509	-5.77385	0.05400618	Lrrc8b	"leucine rich repeat containing 8 family, member B"
ILMN_3001598	0.9813	5.92E-01	-0.5596381	-5.77386	-0.07279106	Ptpn11	"protein tyrosine phosphatase, non-receptor type 11"
ILMN_3133658	0.9813	5.92E-01	0.559625	-5.77387	0.07630401	Olfr1335	olfactory receptor 1335
ILMN_2755140	0.9813	5.92E-01	0.559544	-5.77391	0.07439537	Rad51l3	RAD51-like 3 (S. cerevisiae)
ILMN_2561088	0.9813	5.92E-01	-0.5595079	-5.77393	-0.05317001		
ILMN_1251769	0.9813	5.92E-01	0.5595074	-5.77393	0.05403713		
ILMN_2674415	0.9813	5.92E-01	-0.5595002	-5.77394	-0.05759241		
ILMN_1256561	0.9813	5.92E-01	0.5594965	-5.77394	0.04932225	Adam8	a disintegrin and metallopeptidase domain 8
ILMN_2600389	0.9813	5.92E-01	0.559477	-5.77395	0.13761253	Slc7a6	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6"
ILMN_2686097	0.9813	5.92E-01	-0.5594768	-5.77395	-0.09043324	Fam110a	"family with sequence similarity 110, member A"
ILMN_1248604	0.9813	5.92E-01	0.559462	-5.77396	0.06606652	Atrnl1	attractin like 1
ILMN_2730744	0.9813	5.92E-01	-0.5594227	-5.77398	-0.0611232	Tas2r104	"taste receptor, type 2, member 104"
ILMN_2765389	0.9813	5.92E-01	0.5594091	-5.77399	0.05693511	Fbxo8	F-box protein 8
ILMN_1224590	0.9813	5.92E-01	-0.5594078	-5.77399	-0.04857843		
ILMN_2502039	0.9813	5.92E-01	-0.5594055	-5.77399	-0.05650494	Tfap2b	transcription factor AP-2 beta
ILMN_2549653	0.9813	5.92E-01	0.5594026	-5.77399	0.05228942	Gm9754	predicted gene 9754
ILMN_1242135	0.9813	5.92E-01	0.5593803	-5.774	0.07014358	Fxyd2	FXYD domain-containing ion transport regulator 2
ILMN_2590050	0.9813	5.92E-01	-0.5593195	-5.77404	-0.04822004	Olfr464	olfactory receptor 464
ILMN_2664556	0.9813	5.92E-01	0.5592945	-5.77405	0.06755834	Kcnn1	"potassium intermediate/small conductance calcium-activated channel, subfamily N, member 1"
ILMN_1217842	0.9813	5.92E-01	0.5592934	-5.77405	0.18060824	Bace1	beta-site APP cleaving enzyme 1
ILMN_2523972	0.9813	5.92E-01	-0.5592208	-5.77409	-0.04269555		
ILMN_2892650	0.9813	5.92E-01	-0.5591956	-5.77411	-0.04631373	Tmem35	transmembrane protein 35
ILMN_1219592	0.9813	5.92E-01	0.559181	-5.77412	0.08241359	Xpr1	xenotropic and polytropic retrovirus receptor 1
ILMN_1228763	0.9813	5.92E-01	0.5591526	-5.77413	0.04626141	Neurl1b	neuralized homolog 1b (Drosophila)
ILMN_2471289	0.9813	5.92E-01	0.5590946	-5.77417	0.06628663	Trim44	tripartite motif-containing 44
ILMN_1252623	0.9813	5.92E-01	-0.5590397	-5.7742	-0.05725733		
ILMN_1222559	0.9813	5.92E-01	-0.5590275	-5.7742	-0.05235174	Dpysl4	dihydropyrimidinase-like 4
ILMN_1222334	0.9813	5.92E-01	0.559011	-5.77421	0.04005813	Pgam5	phosphoglycerate mutase family member 5
ILMN_1229720	0.9813	5.92E-01	-0.5589392	-5.77425	-0.09812657	Tollip	toll interacting protein
ILMN_2509457	0.9813	5.92E-01	-0.5588853	-5.77428	-0.05865244	Nsmce4a	non-SMC element 4 homolog A (S. cerevisiae)
ILMN_2762289	0.9813	5.92E-01	0.5588789	-5.77429	0.04218687		
ILMN_1217767	0.9813	5.92E-01	0.5588753	-5.77429	0.06551919	Glrx5	glutaredoxin 5 homolog (S. cerevisiae)
ILMN_2563208	0.9813	5.92E-01	-0.5588554	-5.7743	-0.04137914	C530025M09Rik	RIKEN cDNA C530025M09 gene
ILMN_1377922	0.9813	5.92E-01	0.5588434	-5.77431	0.05919843	Txn1	thioredoxin 1
ILMN_2752490	0.9813	5.92E-01	0.5588121	-5.77433	0.06183451	Rab17	"RAB17, member RAS oncogene family"
ILMN_1240164	0.9813	5.92E-01	0.5588016	-5.77433	0.06186659	Arhgdig	Rho GDP dissociation inhibitor (GDI) gamma
ILMN_1244840	0.9813	5.92E-01	0.5587443	-5.77436	0.12447322	Glt25d1	glycosyltransferase 25 domain containing 1
ILMN_2699637	0.9813	5.92E-01	-0.5586898	-5.77439	-0.07228174	Lsr	lipolysis stimulated lipoprotein receptor
ILMN_2769198	0.9813	5.93E-01	0.5586146	-5.77444	0.05445341	Olfr1052	olfactory receptor 1052
ILMN_1215958	0.9813	5.93E-01	-0.5586109	-5.77444	-0.04791122	Fsd1l	fibronectin type III and SPRY domain containing 1-like
ILMN_1256052	0.9813	5.93E-01	-0.5585436	-5.77448	-0.10480309	Khdrbs1	"KH domain containing, RNA binding, signal transduction associated 1"
ILMN_1227209	0.9813	5.93E-01	0.5585421	-5.77448	0.11139125	Ptcd2	pentatricopeptide repeat domain 2
ILMN_2660934	0.9813	5.93E-01	-0.5585253	-5.77449	-0.04315404	Olfr328	olfactory receptor 328
ILMN_1250011	0.9813	5.93E-01	0.5585218	-5.77449	0.0428657	Tob1	transducer of ErbB-2.1
ILMN_2534807	0.9813	5.93E-01	-0.558485	-5.77451	-0.09097192		
ILMN_1242159	0.9813	5.93E-01	0.5584745	-5.77452	0.04675555	Zfp820	zinc finger protein 820
ILMN_2619390	0.9813	5.93E-01	0.5584568	-5.77453	0.05718235	Inpp5f	inositol polyphosphate-5-phosphatase F
ILMN_1216602	0.9813	5.93E-01	0.558442	-5.77453	0.06472135	Myl1	"myosin, light polypeptide 1"
ILMN_1242607	0.9813	5.93E-01	-0.5584292	-5.77454	-0.04674625	Lars2	"leucyl-tRNA synthetase, mitochondrial"
ILMN_2455771	0.9813	5.93E-01	-0.5583447	-5.77459	-0.04728402		
ILMN_1213725	0.9813	5.93E-01	-0.5582688	-5.77463	-0.0862707	Nudt5	nudix (nucleoside diphosphate linked moiety X)-type motif 5
ILMN_1228937	0.9813	5.93E-01	0.5582647	-5.77463	0.07026822	Cyhr1	cysteine and histidine rich 1
ILMN_2630120	0.9813	5.93E-01	0.558261	-5.77464	0.05710972	Mkl1	MKL (megakaryoblastic leukemia)/myocardin-like 1
ILMN_2448110	0.9813	5.93E-01	0.5582608	-5.77464	0.05859278	5830416P10Rik	RIKEN cDNA 5830416P10 gene
